SITC2,SITC1,weight,group_id
7149,7116,0.2581715069049404,59
7149,7118,0.1150962241574337,59
7188,7118,0.999999998040073,59
3352,5211,0.0129525619769024,25
3352,5214,0.9870474380230976,25
2651,2651,0.7814107680538491,13
2651,2653,0.2185892319461509,13
6584,6569,1.0,41
6589,6569,0.9999999999884456,41
6589,6577,6.893947520461523e-12,41
6553,8414,1.0,41
6589,8414,4.660559192956712e-12,41
8451,8414,1.0,41
8452,8414,1.0,41
8459,8414,1.0,41
8461,8414,1.0,41
8462,8414,1.0,41
8463,8414,1.0,41
8464,8414,1.0,41
8472,8414,1.0,41
6541,6531,1.0,40
6549,6531,0.4610807272274455,40
6544,6533,1.0,40
6549,6533,0.2011012038093319,40
6545,6534,0.8988330312871223,40
6545,6539,0.1011669687128775,40
6549,6539,0.3378180689632225,40
7851,7329,1.0,68
7853,7329,0.3522647847946642,68
7852,7331,1.0,68
7853,7331,0.4877158716113341,68
7853,7334,0.0753881298065138,68
7853,8941,0.0846312137874878,68
8941,8941,1.0,68
6760,6761,0.5995169515920915,51
6760,6762,0.4004830484079084,51
8981,8914,1.0,77
8989,8914,0.3734239216989813,77
8989,8919,0.6265760783010186,77
7841,7326,0.1318804001847463,67
7842,7326,0.9999999999610648,67
7841,7327,0.7410389895320255,67
7842,7327,2.876073181427215e-11,67
7841,7328,0.1270806102832281,67
7842,7328,1.0174595836777638e-11,67
7849,7328,1.0,67
2640,2640,0.7807402184810875,12
2659,2640,4.611051751473957e-12,12
2640,2658,0.2192597815189123,12
2659,2658,0.999999999995389,12
6940,6941,0.183094314378268,55
6940,6942,0.816905685621732,55
7271,7183,1.0,61
7272,7183,0.665989714770141,61
7233,7184,1.0,61
7234,7184,0.7926888259994316,61
7239,7184,1.0,61
7283,7185,1.0,61
7284,7185,0.1799294971226456,61
7234,7198,0.2073111740005683,61
7272,7198,0.3340102852298589,61
7284,7198,0.8200705028773543,61
6924,6922,0.5823612117668061,54
6924,6923,0.4176387882331939,54
6794,6791,0.6142635379471821,53
6794,6792,0.3857364620528178,53
3345,3325,0.9999999999993818,24
3345,3329,6.181378025368641e-13,24
3353,3329,1.0,24
3354,3329,1.0,24
6512,2628,0.1156012876820099,36
6512,6512,0.88439871231799,36
6991,6981,0.898299600532769,57
6991,6982,0.1017003994672308,57
5249,5152,0.2273061123248909,30
5249,5153,0.772693887675109,30
6733,6734,0.7376026240807586,49
6733,6735,0.2623973759192413,49
6633,6634,0.1181142886514214,45
6633,6636,0.8818857113485785,45
8946,5714,0.8996493625725369,74
8946,8943,0.1003506374274631,74
9510,8943,0.2281184101787658,74
9510,9510,0.7718815898212341,74
0224,0221,0.5401232006440866,2
0224,0222,0.4598767993559133,2
6519,6515,0.2730385147736905,38
6519,6518,0.4035588386866419,38
6519,6519,0.3234026465396675,38
0711,0711,0.9152877728563064,5
0711,0819,0.0847122271436934,5
0819,0819,1.0,5
2686,2626,0.4333099206549742,14
2686,2629,0.5666900793450257,14
5145,5127,1.0,28
5146,5127,1.0,28
5147,5127,1.0,28
5148,5127,1.0,28
5621,5127,1.2765693753756874e-10,28
5621,5611,0.9999999998723432,28
5989,5213,0.034505071224401,34
5982,5997,1.0,34
5983,5997,1.0,34
5989,5997,5.2891885281507166e-11,34
5989,5999,0.9654949287227071,34
8993,5999,1.2879362494961856e-09,34
8993,8993,0.9999999987120636,34
0141,0133,0.9999999997600734,1
0149,0138,1.0,1
0980,0138,7.03732534062686e-12,1
0251,0250,1.0,1
0252,0250,1.0,1
0980,0250,0.124361908812671,1
